class,id_text
s,"""531949672156635136"""
o,"""534463749982126080"""
s,"""533870312396705792"""
s,"""532107745919770624"""
na,"""531875995608186880"""
s,"""534041559709523968"""
na,"""531968427100217344"""
o,"""533699472883453953"""
o,"""534410827877875714"""
o,"""534378981500268546"""
s,"""532166173228412929"""
o,"""534464250824384512"""
o,"""531857925736636416"""
na,"""532239908405280768"""
s,"""532332160707883009"""
s,"""533444756849049600"""
s,"""531837420179062784"""
s,"""531921308867506176"""
s,"""530579860809609216"""
s,"""531858019240660992"""
s,"""534278608270159872"""
o,"""533749377127313408"""
na,"""531952555723476992"""
o,"""532348325186768896"""
s,"""532994825612972032"""
s,"""531827696620539905"""
s,"""532737618077691905"""
s,"""530873544217882624"""
s,"""530536722309054465"""
o,"""533711224023052289"""
o,"""534466317123076096"""
s,"""532578317917237248"""
o,"""532997300927602688"""
o,"""534222974656999425"""
s,"""532558075119403008"""
s,"""531831634715492352"""
s,"""531978348147113984"""
na,"""532227029978996736"""
o,"""531987677210755072"""
s,"""533615096019566593"""
s,"""532235283748904960"""
o,"""531865990318280705"""
na,"""534338134621048832"""
s,"""533222434242301952"""
na,"""531915061636657152"""
s,"""531831822552813568"""
s,"""534464098843787264"""
s,"""531908015126241280"""
o,"""532240060977278976"""
na,"""532287385867157505"""
s,"""532026106732630016"""
s,"""532255620909785088"""
s,"""531857262634356737"""
o,"""532339112813273088"""
s,"""533650677730648064"""
o,"""532246623812743168"""
s,"""531961655769702400"""
s,"""532703495812820992"""
s,"""531850633817497600"""
o,"""532152323364356096"""
s,"""532342911674097664"""
o,"""533394325955420160"""
s,"""532251863014309888"""
s,"""531961646303150080"""
o,"""531844577045389312"""
o,"""532971423648583681"""
na,"""532311881554227201"""
o,"""531895477961519104"""
o,"""531888972415262720"""
na,"""533016486827143168"""
o,"""532242793465253888"""
o,"""533073805418463233"""
o,"""533051072479121408"""
s,"""532244923899052033"""
o,"""533656271422230528"""
s,"""531848360911994881"""
s,"""531984850454974464"""
s,"""532676711201382400"""
o,"""532039683543277569"""
s,"""532033725807460352"""
na,"""531907498324676608"""
s,"""533840767073386497"""
s,"""532330837132333056"""
s,"""532011890462175232"""
o,"""531990527197978624"""
o,"""531956359022247936"""
s,"""531910539211857920"""
s,"""533332363262951424"""
o,"""532634015011205120"""
o,"""532669164217843712"""
na,"""531859252323700736"""
o,"""530495523816755200"""
na,"""532619507916099585"""
s,"""532756122089046017"""
o,"""531893436698198017"""
s,"""532007249519321089"""
s,"""532196731723595776"""
o,"""532180109923713024"""
o,"""533247097198628865"""
o,"""533291230944186368"""
s,"""532550182916083713"""
o,"""532206570667773953"""
s,"""531926816517537792"""
s,"""531898338182823936"""
na,"""532672283190771713"""
s,"""533133798171766784"""
o,"""533071911492669442"""
na,"""532319662202044417"""
s,"""532083177901551616"""
s,"""532294799706324992"""
o,"""532965572619665408"""
s,"""532897701676191744"""
s,"""533887787939168256"""
o,"""533592139880751105"""
o,"""532678598298443776"""
s,"""530473840980537345"""
s,"""534130223382417408"""
na,"""532229446523441152"""
s,"""531862929889439744"""
s,"""533016296217407488"""
s,"""530493581719785472"""
s,"""533924190551040000"""
s,"""529733005515194368"""
na,"""532145524833800192"""
s,"""533319821325135872"""
s,"""534378331379351554"""
s,"""531876103066238976"""
s,"""532010158256173057"""
s,"""534454851758202881"""
s,"""530655457635889152"""
o,"""532054005439266816"""
na,"""532674418925772800"""
na,"""532268211010809856"""
na,"""532175696932925440"""
s,"""533175937374748673"""
s,"""532567421299609600"""
s,"""534055859509157888"""
s,"""531955676231122944"""
o,"""533061083045851136"""
o,"""533409181551050752"""
o,"""532008532993126401"""
o,"""531883380279746560"""
s,"""531884831030779904"""
s,"""530444742828761088"""
s,"""531947233751883776"""
s,"""532762078827012096"""
na,"""529739771841888256"""
s,"""532189466698727424"""
na,"""531893345287946240"""
na,"""532164592974454785"""
s,"""531871469861863424"""
s,"""531969784380792832"""
o,"""532209231337127936"""
o,"""533260961445322752"""
o,"""531988045344436224"""
o,"""531921411162796033"""
s,"""531960576252325888"""
s,"""532087492837908480"""
s,"""531838840445894656"""
na,"""531861113478991872"""
s,"""530070156395810816"""
o,"""532870395754315777"""
s,"""532195125632720896"""
o,"""533329204172312577"""
na,"""532695895985242112"""
o,"""532621897955958784"""
na,"""533349736804548608"""
na,"""532015572910112768"""
s,"""532911833729220609"""
na,"""531870282127245312"""
s,"""531967254809042944"""
s,"""530101417642827778"""
s,"""531974756245843968"""
o,"""531855202995806208"""
s,"""532168212344229889"""
o,"""532897802855415808"""
