class,id_text
o,"""532581943624609792"""
s,"""532184041567842304"""
s,"""533679023109316608"""
s,"""531943887699312640"""
s,"""532239363036299265"""
s,"""533623763992969216"""
o,"""531947931541073920"""
o,"""532011274884763649"""
s,"""532241368195014658"""
s,"""531851533101854720"""
s,"""532159191512010752"""
o,"""534447670471835648"""
s,"""529316909544534016"""
s,"""531881434756042752"""
o,"""533281937616822272"""
s,"""532072686563115008"""
o,"""532758320369926144"""
s,"""531941313709875200"""
o,"""532937428961853440"""
o,"""533011171780329472"""
s,"""532044959588036608"""
na,"""532689152173563904"""
s,"""531990872087203840"""
s,"""533632357212110848"""
na,"""532966723016589312"""
s,"""532970887104835584"""
o,"""533756884029681664"""
s,"""530277472714383360"""
s,"""532784785220206592"""
o,"""531944444409692163"""
s,"""531848181966192640"""
o,"""531949942286209026"""
na,"""532255815609384960"""
s,"""532177508872245248"""
s,"""531907042219266048"""
o,"""533110069211439106"""
s,"""533246318588608512"""
o,"""532364912052301824"""
o,"""532766644800475139"""
s,"""532720932867952640"""
s,"""532926262206279680"""
s,"""531898965441404928"""
o,"""532666112711069697"""
s,"""534351530283900930"""
s,"""532899956685012992"""
o,"""533104869784432640"""
s,"""531880783355469824"""
o,"""533114995735658496"""
s,"""531893270641516544"""
s,"""530120442720157697"""
s,"""531865437286727681"""
s,"""531889199566168064"""
s,"""531844516290887680"""
s,"""532050017381404672"""
s,"""532684453249048577"""
s,"""531967539840954368"""
o,"""532564134664347648"""
s,"""530476257251966976"""
s,"""530024751222521856"""
o,"""532668159300759552"""
s,"""531859393076142081"""
s,"""532885562194415616"""
s,"""531865771425558532"""
o,"""531872495205244929"""
s,"""531831482483216384"""
o,"""532204309879205889"""
o,"""532679155645968385"""
s,"""531936149468889088"""
o,"""530089725999083520"""
o,"""532723859406217216"""
o,"""533248012051816448"""
o,"""532337244028563457"""
o,"""532736603865624578"""
o,"""531963329859026944"""
o,"""531971417844494336"""
o,"""531968179112001536"""
na,"""532329576873984000"""
o,"""533976179674329088"""
o,"""533229753571217408"""
o,"""531988609570983937"""
s,"""532278823401046017"""
s,"""532296532075511808"""
o,"""532339709054578688"""
o,"""533091835879895041"""
s,"""531922190057615360"""
s,"""531914133063880704"""
o,"""534065432932909058"""
s,"""531998140308938753"""
na,"""532109526258835457"""
s,"""533051402759966720"""
o,"""532012821874098176"""
s,"""531887529243717633"""
s,"""531840254861275136"""
o,"""534187201651675137"""
o,"""532922880385097728"""
s,"""531929161808760832"""
o,"""533402222370242560"""
o,"""531932719228674048"""
s,"""532240722997821440"""
s,"""530873936339144704"""
o,"""531906299374874624"""
na,"""532229564303679488"""
s,"""532539051174543361"""
o,"""532949954038595584"""
o,"""531216830191640576"""
s,"""533648835890130944"""
o,"""531936222701051904"""
s,"""531990000749920257"""
s,"""532613165096652800"""
s,"""531869885228253184"""
o,"""532927478780944385"""
s,"""532347482878263297"""
o,"""534358690342502400"""
o,"""532897714284290048"""
s,"""532910485386301440"""
s,"""531950006467837952"""
s,"""532224330315628544"""
o,"""534104989783060480"""
na,"""532172925928239105"""
s,"""531852760711712768"""
o,"""532723685342580736"""
s,"""533307056090923008"""
o,"""533045921852817409"""
s,"""531866633577320448"""
s,"""532548784056975360"""
s,"""533986883567902720"""
s,"""532019025186799616"""
s,"""532257507398660096"""
o,"""531937726887895041"""
o,"""534420390928719872"""
s,"""531981947330129921"""
s,"""531918434549125120"""
s,"""532537470152634370"""
o,"""533203400373305344"""
na,"""531950356037906432"""
o,"""533410729043320832"""
s,"""532282576715530240"""
na,"""532156085746933761"""
s,"""531857312710164481"""
s,"""531984366835343360"""
o,"""533228031570358272"""
s,"""531974526410956800"""
o,"""533057717032996865"""
s,"""529392236455542785"""
s,"""532662032316002304"""
o,"""532925955728482304"""
o,"""531914942078005248"""
s,"""534243992654069760"""
o,"""533712957411426306"""
o,"""531902201330139137"""
s,"""532149786284412928"""
s,"""531858257158356992"""
s,"""531861365292404736"""
o,"""534151561493352448"""
na,"""531998248308060161"""
s,"""532946663577382912"""
s,"""531973871789162497"""
s,"""531962636611506176"""
s,"""531974286781591552"""
s,"""532597225587613697"""
s,"""532254881998835712"""
s,"""532373629909352448"""
o,"""534402552863789058"""
o,"""531893460354084865"""
s,"""532214616575995905"""
o,"""533123048321212418"""
s,"""531989188892033024"""
o,"""531987292433686528"""
s,"""532537691578302464"""
s,"""532258953242357760"""
na,"""532661509172649984"""
o,"""532565941733711873"""
s,"""533682879751282689"""
o,"""533058002706640896"""
s,"""531847556435681280"""
o,"""534391468874412032"""
s,"""531955199930540032"""
o,"""533403025759813633"""
s,"""531916342811586560"""
o,"""531936134436503552"""
s,"""532421456068902912"""
s,"""531974251851837440"""
o,"""533094373156990976"""
o,"""532759361643630592"""
o,"""532170374814109696"""
na,"""530819005603266560"""
o,"""532650313325752321"""
o,"""531928397023178752"""
o,"""533277342605398016"""
o,"""531844839311409152"""
o,"""533012627589718016"""
o,"""533397610938511360"""
s,"""531917216573190146"""
s,"""532163359723225088"""
s,"""532174614269415424"""
o,"""534213764891959296"""
o,"""531841015783518209"""
na,"""532627904958828544"""
